gene,Control,Control,Control,M2b,M2b,M2b
Cnnm4,110,69,74,57,131,99
Cnnm3,45,14,24,18,58,33
Ankrd23,10,1,17,9,6,2
Ankrd39,12,6,4,2,7,1
Sema4c,30,3,15,23,30,41
Fam178b,0,1,1,0,4,0
Cox5b,286,165,131,159,332,412
Actr1b,179,158,279,246,167,204
4933424G06Rik,0,1,0,0,0,0
Zap70,0,0,0,0,16,0
Tmem131,926,615,1142,840,1842,1530
Cnga3,3,0,0,0,0,0
Inpp4a,84,97,110,155,144,184
Coa5,554,293,251,180,538,521
Unc50,73,37,78,36,127,170
Mgat4a,876,316,561,425,601,594
4930594C11Rik,41,48,84,45,81,63
2010300C02Rik,1,0,2,0,1,6
Tsga10,36,18,10,18,76,78
Lipt1,0,1,0,7,0,0
Mitd1,212,52,82,78,110,75
Mrpl30,129,119,137,93,146,147
Lyg2,0,0,0,0,0,0
Lyg1,7,0,0,0,0,0
Txndc9,257,245,250,229,477,316
Eif5b,1405,1558,1799,1827,2856,2202
Rev1,179,248,172,271,326,226
Aff3,74,43,67,60,75,100
Lonrf2,0,0,0,0,0,0
Chst10,13,4,2,16,7,39
Nms,0,0,0,0,0,0
Pdcl3,133,134,94,38,233,155
Mir6349,0,0,0,0,0,0
Npas2,0,12,9,16,5,5
Rpl31,784,603,926,1011,1313,1268
Tbc1d8,764,733,581,511,726,557
Cnot11,102,30,137,48,97,150
Snord89,7,32,33,20,19,17
Rnf149,1627,2049,2139,2520,2167,2390
Creg2,6,6,5,10,23,19
Rfx8,0,0,0,0,0,0
Gm3646,0,0,0,0,0,0
1700066B17Rik,1,13,0,14,0,0
Map4k4,1431,1574,1333,1825,4871,4645
Gm16894,0,0,0,3,0,0
Il1r2,538,738,515,620,1035,930
Il1r1,134,127,171,275,101,80
Il1rl2,11,28,4,0,32,46
Il1rl1,31,3,6,2,35,14
Il18r1,20,25,12,6,42,27
Il18rap,4,2,25,7,21,28
Slc9a4,0,0,3,0,16,0
Slc9a2,0,4,0,0,11,0
Mfsd9,22,5,6,16,12,3
Tmem182,0,7,0,0,0,0
4930448I06Rik,0,0,0,0,0,0
Pantr1,0,0,0,0,0,0
Pou3f3,0,0,0,0,0,0
2900092D14Rik,0,1,0,0,0,0
Pantr2,0,0,0,0,0,0
Dalir,0,0,0,0,0,0
Mrps9,91,33,101,130,93,120
Gpr45,0,0,0,0,0,0
Tgfbrap1,193,107,121,134,220,194
AI597479,68,39,20,66,53,46
Fhl2,16,19,1,11,3,11
Nck2,46,35,33,23,111,87
1500015O10Rik,0,0,0,0,0,0
Uxs1,33,52,50,4,63,82
Tpp2,711,613,885,952,1323,944
Mettl21c,4,0,0,0,0,0
Tex30,18,34,45,11,36,38
Kdelc1,17,3,28,0,10,13
Bivm,17,18,3,24,1,27
Ercc5,76,6,23,42,45,66
Mettl21e,0,3,0,0,0,0
Gulp1,1,0,1,0,0,1
4930521E06Rik,0,0,0,0,0,0
Col3a1,1471,1062,775,639,3025,2581
Col5a2,103,62,76,60,202,179
Wdr75,116,85,93,127,177,92
Slc40a1,1884,1197,1120,552,655,528
Stk-ps2,5,9,1,2,1,1
Dnah7b,0,0,0,0,0,0
Slc39a10,303,188,265,301,112,74
Mir6350,0,0,0,0,0,0
Tmeff2,0,0,0,0,5,0
9330175M20Rik,0,0,0,0,14,0
Sdpr,4,9,5,23,16,22
Nabp1,265,183,318,397,603,556
Myo1b,113,206,180,200,338,187
Stat4,128,123,166,215,531,371
Stat1,5963,2335,3977,3079,6016,5742
Gls,534,350,371,341,1334,752
Nab1,1909,1521,1122,1394,2049,1644
Tmem194b,3,17,32,55,13,11
Mfsd6,44,62,42,44,60,62
Inpp1,5,7,4,8,2,3
Hibch,32,12,21,13,8,12
1700019D03Rik,0,0,0,0,0,6
Mstn,0,0,0,0,0,0
1700019A02Rik,0,0,0,0,0,0
Pms1,13,18,25,11,69,43
Ormdl1,39,46,5,6,71,48
Osgepl1,3,0,6,1,7,1
Asnsd1,68,87,101,59,116,77
Dnah7a,20,3,7,0,77,1
Stk17b,276,376,580,565,715,499
Hecw2,2,5,3,4,16,11
Mir7681,0,0,0,0,0,0
Ccdc150,0,0,0,0,8,0
Gtf3c3,130,47,84,67,100,53
Pgap1,156,150,204,61,342,307
Ankrd44,160,79,268,289,352,214
Sf3b1,1946,1287,2077,1526,3275,2748
Coq10b,137,107,106,78,161,90
Hspd1,783,694,2136,2054,798,463
Hspe1,228,196,724,837,186,258
Mob4,153,108,200,78,210,170
Rftn2,8,4,20,17,5,3
Mars2,6,1,23,28,10,3
Boll,0,3,0,0,0,0
Plcl1,20,35,116,79,60,28
9130227L01Rik,0,0,0,0,0,0
1700003I22Rik,0,1,2,0,0,0
Hsfy2,0,0,0,0,0,0
Satb2,4,24,4,9,27,26
9130024F11Rik,0,0,0,0,0,0
BC055402,0,0,0,0,16,3
4930558J18Rik,0,0,0,0,0,0
1700066M21Rik,1,13,29,0,13,7
Tyw5,48,28,19,12,31,26
9430016H08Rik,62,85,22,37,92,61
Spats2l,11,6,19,13,11,10
Kctd18,31,22,85,49,51,19
Sgol2a,15,1,0,0,14,7
Aox1,22,0,1,0,9,3
Aox3,5,10,0,0,0,3
Aox4,0,13,0,0,0,0
Aox2,0,0,1,0,3,4
Bzw1,1425,1326,1329,1122,1943,1674
Clk1,485,622,736,914,1386,1035
Ppil3,64,10,11,14,37,34
Nif3l1,12,19,40,7,8,59
Orc2,111,57,99,87,47,87
Fam126b,90,49,39,2,67,51
Ndufb3,7,11,61,43,36,68
Gm20257,0,0,4,0,5,0
Als2cr12,0,0,0,0,6,0
Cflar,2795,3290,3278,4787,3764,3298
Casp8,693,225,419,210,871,711
Trak2,421,359,286,248,822,457
Stradb,34,15,74,6,25,56
Als2cr11,0,0,0,0,0,2
Tmem237,21,19,10,10,27,39
Mpp4,20,13,17,4,29,57
Als2,418,288,194,147,500,565
Cdk15,19,0,0,0,0,0
Fzd7,43,127,79,88,66,115
Gm973,0,0,0,2,0,0
Sumo1,475,323,291,325,671,817
Nop58,293,489,392,499,725,488
Snord70,0,0,5,5,9,4
Snord11,0,5,8,0,3,5
Bmpr2,454,276,312,259,720,780
Fam117b,131,108,167,167,216,249
Ica1l,0,0,0,0,1,0
Wdr12,78,37,74,35,93,45
Carf,23,26,12,23,12,21
Nbeal1,262,228,312,283,508,323
Cyp20a1,84,49,90,25,93,59
Abi2,122,51,17,29,111,145
Raph1,232,530,407,546,554,421
Cd28,89,80,52,122,65,29
Ctla4,5,7,7,2,56,37
Icos,0,3,7,5,15,18
9530026F06Rik,0,0,0,0,0,0
Pard3b,6,1,13,9,16,19
Nrp2,4381,3506,2794,3362,6210,5582
4930487H11Rik,0,0,0,0,10,0
Ino80d,845,748,848,820,1411,1244
Ino80dos,11,21,19,3,5,4
Ndufs1,130,163,173,91,203,204
Eef1b2,1160,946,1977,1970,1739,1471
Snora41,0,0,2,0,0,0
Gpr1,0,0,0,0,0,0
Zdbf2,0,1,0,27,9,0
Adam23,21,42,17,45,38,31
Dytn,2,1,0,0,0,0
Mdh1b,0,0,0,0,0,0
Fastkd2,65,93,119,86,56,39
4933402D24Rik,1,0,0,0,0,0
Gm13749,0,0,0,0,0,0
Mir1958,0,0,0,0,0,0
Klf7,35,72,80,68,139,125
Mir6899,0,0,6,2,0,1
Creb1,486,389,388,365,571,481
Mettl21a,23,3,17,11,31,6
2810408I11Rik,12,0,4,0,4,0
Ccnyl1,126,158,78,80,187,174
Fzd5,123,119,154,163,216,167
Plekhm3,187,129,205,184,346,335
Akr1cl,0,0,0,0,0,0
Cryge,0,0,0,0,0,0
Crygd,0,0,0,0,0,0
Crygc,0,0,0,0,0,0
Crygb,0,0,0,0,0,0
Cryga,0,0,0,0,0,0
D630023F18Rik,0,0,0,0,0,0
Idh1,319,153,161,187,483,385
Pikfyve,718,571,540,635,776,730
Pth2r,0,0,0,0,10,0
Crygf,0,0,0,0,0,0
Map2,0,12,0,0,10,1
Unc80,22,1,3,0,18,18
Rpe,94,54,56,109,129,94
Kansl1l,391,238,145,107,442,439
Acadl,464,437,260,360,426,403
Myl1,0,0,0,0,0,0
Lancl1,15,8,32,36,11,12
Cps1,0,3,0,0,0,0
Erbb4,0,0,0,0,2,0
Ikzf2,80,35,47,77,212,173
Spag16,7,0,0,0,0,5
Vwc2l,0,0,0,0,0,0
Bard1,12,0,0,13,41,3
Abca12,43,1,0,0,0,1
Atic,109,51,80,176,155,79
Fn1,981,693,550,407,1723,2125
Apol7d,0,5,0,1,0,0
Gm8883,0,0,0,0,0,0
4933417E11Rik,0,0,0,0,0,0
Mreg,27,33,60,109,146,118
Pecr,1,6,8,6,5,0
Tmem169,4,1,0,36,3,0
Xrcc5,28,14,39,18,19,1
March4,3,0,0,2,11,0
Smarcal1,110,45,137,80,138,161
Ankar,6,0,0,0,2,0
Rpl37a,477,435,721,1030,767,1017
Igfbp2,0,0,0,0,0,0
Igfbp5,85,26,13,52,93,70
Tnp1,0,0,0,0,0,0
1700027A15Rik,0,0,0,0,0,0
Pinc,0,0,0,0,0,0
D530049I02Rik,0,0,0,0,0,0
6030407O03Rik,0,0,0,2,0,1
Mir6351,0,0,0,0,0,0
Tns1,351,214,338,255,128,133
Rufy4,0,0,5,14,7,6
Cxcr2,4,1,0,0,24,10
Cxcr1,0,0,0,0,0,0
Mir1928,0,0,0,0,0,0
Arpc2,2777,2120,2016,1912,3306,2839
Gpbar1,0,0,4,0,4,4
Aamp,481,300,343,227,849,797
Pnkd,3,17,13,22,45,4
Tmbim1,710,624,527,466,427,440
Catip,5,1,0,2,0,18
Slc11a1,1267,932,1076,850,1235,1186
Ctdsp1,296,125,187,184,275,258
Mir26b,3,0,0,0,2,0
Vil1,8,22,0,0,25,34
Usp37,233,216,298,242,526,336
Rqcd1,278,231,163,195,278,223
Plcd4,0,3,0,0,5,8
Zfp142,153,148,192,233,234,162
Bcs1l,38,0,7,16,14,21
Rnf25,57,79,37,42,122,81
Stk36,2,0,0,0,5,0
Ttll4,76,48,72,45,160,103
Cyp27a1,77,26,97,82,22,37
Prkag3,0,0,1,0,1,1
Wnt6,0,0,0,0,2,0
Wnt10a,0,0,0,0,1,0
Cdk5r2,0,0,0,0,0,0
Fev,0,0,0,0,0,0
Cryba2,0,0,0,0,0,0
Mir375,0,0,0,0,0,0
Ccdc108,0,0,0,0,2,0
Ihh,0,0,0,0,5,0
Nhej1,23,0,2,10,20,2
Slc23a3,2,1,0,0,6,5
Cnppd1,331,324,228,230,408,460
Fam134a,300,187,222,162,303,294
Zfand2b,57,39,53,36,67,74
Abcb6,68,36,1,1,56,46
Atg9a,66,37,40,37,85,59
Ankzf1,24,18,38,20,39,63
Glb1l,10,13,24,15,57,23
Stk16,33,33,33,51,57,96
Tuba4a,116,188,73,91,204,151
A630095N17Rik,0,1,0,0,0,0
Dnajb2,42,46,49,66,92,110
Ptprn,0,0,4,0,7,15
Resp18,0,0,0,27,0,0
Dnpep,97,35,43,70,121,117
Des,6,9,68,97,18,0
Gm15179,0,0,0,0,0,0
Speg,16,1,21,8,6,5
Gmppa,10,12,87,11,28,39
Asic4,0,0,0,0,0,0
Chpf,13,25,7,19,9,15
Tmem198,2,5,0,0,3,1
Obsl1,1,1,0,5,4,1
Inha,0,0,0,0,0,0
Stk11ip,30,42,130,110,81,97
Slc4a3,0,11,1,0,6,0
Gm17751,0,0,0,0,0,0
Mir6343,0,0,0,0,0,0
Epha4,1,13,0,0,10,14
Mir6352,0,0,0,0,12,0
Pax3,10,0,0,0,0,0
Sgpp2,14,3,1,0,2,6
Farsb,54,46,114,39,65,36
Mogat1,0,0,0,12,8,0
Acsl3,84,26,81,50,129,77
Utp14b,138,135,226,138,169,126
Kcne4,4,0,0,0,10,2
Scg2,0,0,0,0,0,0
Ap1s3,14,13,43,61,46,50
Wdfy1,146,148,334,394,206,116
Mrpl44,23,27,38,13,42,31
Serpine2,52,3,14,1,7,9
Fam124b,0,0,3,0,0,0
Cul3,1176,884,1014,619,1784,1159
1700016L21Rik,0,0,0,0,0,0
Dock10,1870,1347,2377,2139,3164,2352
Nyap2,0,0,0,0,5,0
Mir6344,1,0,0,0,0,0
Irs1,5,3,0,8,0,0
Rhbdd1,96,48,75,74,29,95
Col4a4,0,0,0,5,2,0
Col4a3,3,4,2,0,3,0
Mff,172,142,178,200,183,312
Tm4sf20,2,0,7,0,7,0
Agfg1,387,328,303,350,756,520
Slc19a3,0,0,0,0,1,0
Ccl20,0,0,0,0,0,0
Daw1,0,0,0,0,0,0
Sphkap,0,0,0,0,0,0
Pid1,142,40,193,103,216,114
Mir6353,0,8,0,0,3,9
Dner,2,1,14,0,0,4
Mir5126,0,0,0,0,0,0
Trip12,3141,2365,2532,2136,5236,4370
Fbxo36,0,0,0,0,0,4
Slc16a14,0,7,0,0,0,0
A530032D15Rik,116,108,143,176,322,276
Gm7609,29,21,65,32,63,26
C130026I21Rik,89,84,175,139,156,72
Sp110,679,379,762,590,638,660
Sp140,1362,1011,1266,1480,1907,1709
Sp100,2119,942,1684,1281,1938,2016
A630001G21Rik,77,68,128,111,136,169
Mir8096,0,0,0,0,0,0
9930111H07Rik,0,0,0,0,0,0
Cab39,1064,818,741,624,1159,949
Itm2c,520,511,597,480,498,557
4933407L21Rik,0,0,0,0,0,0
Gpr55,47,34,8,17,46,30
Spata3,0,0,0,0,0,0
2810459M11Rik,0,5,0,0,0,0
Psmd1,2289,1805,1303,1565,2439,2168
Htr2b,24,20,1,13,0,0
Armc9,9,5,16,5,26,10
B3gnt7,9,12,5,1,4,13
Ncl,5139,5545,6957,8417,8008,6790
Snora75,7,0,2,34,27,2
Gm24148,2,18,35,38,15,17
Snord82,0,1,20,20,15,16
C130036L24Rik,0,0,0,0,0,1
Nmur1,0,0,0,0,0,0
1700019O17Rik,3,0,0,0,0,2
Ptma,1732,1346,1640,1713,2048,1980
Pde6d,5,20,64,14,33,60
Cops7b,38,15,20,11,70,13
Nppc,0,0,0,0,0,0
Dis3l2,10,21,60,29,59,34
Alppl2,0,0,0,0,0,0
Alpi,0,0,0,0,0,2
Akp3,2,0,0,0,0,0
Ecel1,5,0,0,0,0,0
Prss56,0,5,0,0,1,5
Chrnd,0,1,0,0,0,0
Chrng,0,0,0,0,0,0
Eif4e2,469,407,498,474,715,771
Efhd1,8,1,0,0,1,4
Gigyf2,489,431,458,352,847,850
Kcnj13,0,0,0,0,0,0
3110079O15Rik,0,0,0,0,0,0
Ngef,1,2,0,0,0,1
Neu2,0,0,0,0,1,0
Inpp5d,1020,581,945,656,1240,909
Atg16l1,100,74,109,61,120,155
Scarna6,9,1,22,44,8,32
Sag,0,6,4,11,5,11
Dgkd,493,435,731,617,545,411
Usp40,154,98,126,96,326,168
Ugt1a10,266,120,113,35,217,207
Ugt1a9,266,122,113,35,217,207
Ugt1a7c,536,220,307,151,509,467
Ugt1a6b,268,164,129,68,286,281
Ugt1a6a,303,146,115,61,280,228
Ugt1a5,266,120,122,38,249,208
Ugt1a2,266,122,115,38,226,224
Dnajb3,0,0,0,0,9,0
Ugt1a1,267,120,114,35,239,207
Mroh2a,23,14,5,5,84,32
Hjurp,161,109,129,74,226,182
6430706D22Rik,106,56,68,34,123,127
A730008H23Rik,98,66,82,41,139,125
Trpm8,1,0,0,5,0,0
Spp2,0,0,0,0,0,0
Glrp1,23,3,8,3,2,17
Gm19589,8,9,0,14,11,9
Arl4c,3009,3723,4103,3998,2380,2350
Platr5,0,0,0,0,0,0
1700067G17Rik,1,0,0,0,0,0
Sh3bp4,143,175,185,135,213,165
C030007H22Rik,0,0,0,0,0,0
Agap1,75,85,108,67,56,42
4933400F21Rik,2,5,0,0,0,0
Gbx2,0,0,0,0,0,0
Asb18,0,0,0,0,0,0
Iqca,0,8,5,0,0,0
Ackr3,4,7,2,6,25,16
Cops8,237,105,154,115,260,102
Col6a3,156,119,27,36,136,152
Mlph,4,6,2,0,7,3
Prlh,0,0,0,0,0,0
Rab17,0,1,0,0,0,1
Lrrfip1,909,739,812,854,1855,1624
Rbm44,3,0,1,0,2,2
Ramp1,11,1,20,24,14,22
Ube2f,318,333,269,260,404,429
Scly,44,25,79,42,46,53
Espnl,0,6,2,0,28,7
Klhl30,0,0,0,0,0,6
Fam132b,0,0,0,0,13,2
Ilkap,111,60,112,74,174,135
1700020N18Rik,0,0,0,0,0,0
Hes6,27,1,14,0,29,55
Per2,16,9,41,52,17,21
Traf3ip1,28,17,22,32,62,31
Asb1,5,25,26,23,61,37
Twist2,0,0,0,1,0,2
Hdac4,163,124,132,72,182,197
Ndufa10,270,92,115,117,212,123
Mir6900,0,0,0,0,0,2
Olfr1416,0,0,0,0,0,0
Olfr1415,0,0,0,0,0,0
Olfr1414,0,0,0,0,0,5
Olfr1413,0,0,0,0,0,0
Olfr1412,0,0,0,0,0,0
Olfr1411,0,0,0,0,0,0
Olfr1410,0,0,0,0,0,0
Olfr12,0,0,0,0,0,0
Myeov2,44,35,61,59,97,108
Otos,0,2,0,0,0,0
Gpc1,282,249,195,162,720,762
Mir149,0,0,0,0,0,0
Ankmy1,0,0,5,0,0,0
Dusp28,2,2,9,1,6,14
Rnpepl1,212,99,180,160,171,169
9430060I03Rik,0,0,1,0,6,4
Capn10,11,6,9,41,48,35
Gpr35,173,97,104,106,402,329
Aqp12,0,0,0,0,0,0
Kif1a,52,46,29,19,181,186
Agxt,0,0,0,0,0,0
2310007B03Rik,0,0,0,0,0,1
Sned1,16,7,4,6,25,28
Mir6901,0,0,0,0,0,4
Mterf4,50,34,29,13,43,60
Pask,18,0,9,11,14,6
Ppp1r7,203,121,104,83,90,185
Mir6902,0,2,5,12,0,0
Mir6345,0,0,0,0,0,0
Ano7,4,0,0,0,0,0
Hdlbp,1822,1096,1350,1148,2504,2099
Sept2,1001,732,617,592,1134,828
Farp2,48,16,15,21,71,16
Stk25,157,76,105,71,198,165
Bok,9,2,0,6,0,0
Thap4,47,84,76,36,98,147
Atg4b,105,120,84,75,244,147
Dtymk,16,20,28,2,18,0
Ing5,154,91,124,60,174,156
D2hgdh,27,10,7,20,71,36
Gal3st2,0,1,0,0,12,0
Gm9994,0,0,0,0,9,0
Gm6086,0,0,0,0,2,2
Neu4,0,0,0,0,0,0
Pdcd1,4,1,0,12,22,14
4930440C22Rik,0,0,0,0,0,0
Fam174a,52,79,40,54,115,94
St8sia4,604,717,555,791,1334,829
4930598F16Rik,0,0,0,0,0,0
1700063A18Rik,0,0,0,0,0,0
4930533P14Rik,0,0,0,0,0,0
Slco4c1,9,0,0,0,0,0
Panct2,0,0,0,0,0,0
Slco6b1,0,0,0,0,0,0
Slco6c1,0,0,0,0,0,0
D1Ertd622e,260,210,417,388,267,270
Ppip5k2,285,151,216,172,224,212
Gin1,16,4,5,1,11,5
Pam,99,13,37,44,93,90
B230216N24Rik,0,0,0,0,1,1
1810006J02Rik,23,0,0,0,1,0
Slco6d1,0,0,0,0,0,0
Cntnap5b,0,0,0,0,0,0
Gm20268,0,0,0,0,0,0
Cdh20,1,0,0,0,0,11
Rnf152,0,14,0,7,3,1
Pign,130,61,174,113,146,127
2310035C23Rik,188,83,148,146,428,172
Tnfrsf11a,1146,1157,849,1079,778,743
Zcchc2,861,907,1365,1360,969,843
Gm20753,0,0,0,0,0,0
Phlpp1,396,448,595,690,784,596
Bcl2,70,20,38,62,36,22
Mir3473f,0,0,0,15,0,0
Kdsr,81,35,50,37,95,37
Vps4b,682,755,793,584,1206,770
Serpinb5,0,5,0,0,0,0
Serpinb12,6,0,0,0,3,0
Serpinb13,0,0,0,0,0,4
Serpinb3a,3,3,0,0,0,0
Serpinb3d,0,0,0,0,0,0
Serpinb3b,0,0,0,0,0,0
Serpinb3c,7,0,0,0,0,0
Serpinb11,3,0,0,7,1,0
Serpinb7,0,0,0,0,0,0
Serpinb2,166,220,45,128,523,307
Serpinb10,9,0,3,1,2,0
Serpinb8,300,188,380,276,343,257
D830032E09Rik,0,0,0,0,0,0
Cdh7,0,0,0,0,0,2
Cdh19,0,0,0,0,0,0
Dsel,46,25,5,3,18,20
Cntnap5a,0,0,0,0,0,0
Tsn,180,144,159,89,162,216
Nifk,140,89,131,195,161,136
Clasp1,259,211,286,185,531,400
2900060B14Rik,0,6,47,31,5,13
Tfcp2l1,6,8,3,3,15,25
Gli2,2,10,0,0,3,0
Mir6346,0,0,0,0,0,0
Inhbb,0,0,0,0,20,0
Ralb,369,365,257,341,619,576
Tmem185b,59,112,110,85,165,123
3830432H09Rik,0,3,0,0,0,0
Epb4.1l5,26,13,6,5,31,25
Ptpn4,15,28,39,26,118,48
Tmem177,4,2,13,0,2,2
Cfap221,0,0,0,0,0,0
Sctr,0,0,0,0,0,0
Tmem37,58,27,49,63,23,12
Dbi,193,80,156,77,219,217
3110009E18Rik,1,0,0,32,0,6
Steap3,10,4,15,0,23,8
C1ql2,0,0,1,0,0,0
Marco,3,16,2,22,7,1
En1,0,0,0,0,0,0
Celrr,0,0,0,0,0,0
Insig2,95,107,110,101,123,90
Ccdc93,386,392,243,245,330,361
Htr5b,0,0,0,0,0,0
Ddx18,180,191,185,136,187,179
Dpp10,1,0,0,0,0,0
Actr3,4734,3397,3270,3632,4974,3884
Slc35f5,154,263,140,144,119,220
Gpr39,4,3,0,0,5,20
Lypd1,0,0,0,0,0,0
Nckap5,3,18,1,5,0,4
Mgat5,475,323,453,342,498,385
Tmem163,6,12,25,10,6,0
Acmsd,0,1,0,6,0,0
2900009J06Rik,0,0,0,0,0,0
Ccnt2,283,241,377,278,434,215
Map3k19,0,0,0,6,0,0
Rab3gap1,370,277,284,299,520,432
Zranb3,33,14,23,3,9,31
R3hdm1,228,167,299,290,451,288
Mir128-1,0,0,0,0,0,0
Ubxn4,1992,1855,1893,2454,2224,2003
Lct,0,2,7,0,0,6
Mcm6,181,59,209,115,171,165
Dars,314,195,370,243,175,213
Cxcr4,1994,1580,1419,1063,1472,1450
Thsd7b,1,4,0,0,12,1
Cd55b,14,5,11,14,4,13
Cd55,164,129,213,168,236,149
Zp3r,0,0,0,0,7,0
C4bp,0,0,0,0,0,0
C4bp-ps1,6,0,0,0,0,0
Pfkfb2,26,46,34,31,62,21
Yod1,5,6,24,21,24,19
AA986860,11,13,12,0,23,8
Fcamr,1,0,0,0,0,0
