Geneid,Control,Control,Control,M1,M1,M1,M2a,M2a,M2a,M2c,M2c,M2c
665903,35,96,63,49,32,46,24,27,11,65,42,54
210962,0,0,0,0,0,0,0,0,0,0,0,0
623924,0,0,0,0,0,0,0,0,0,0,0,0
791350,0,0,0,0,0,0,0,0,0,0,0,0
213109,2009,1834,2460,1888,1816,1670,1947,2642,2361,3272,2593,2330
19243,610,643,728,455,449,411,560,684,652,1124,902,891
70988,0,1,0,0,0,0,0,0,0,0,0,1
266744,0,0,0,0,0,0,0,0,0,0,0,0
74708,0,0,0,0,0,0,0,0,0,0,0,0
226957,0,0,0,0,0,0,0,0,0,0,0,0
624262,0,0,0,0,0,0,0,0,0,0,0,0
170771,0,0,0,0,0,0,0,0,0,0,0,0
408192,0,0,0,0,0,0,0,0,0,0,0,0
408191,0,0,0,0,0,0,0,0,0,0,0,0
19076,551,595,672,377,375,351,238,312,278,716,507,535
67503,0,4,1,1,0,3,1,1,0,0,2,1
19335,172,227,233,188,155,147,89,110,109,258,162,170
213539,71,96,75,120,84,74,75,73,69,69,50,41
98403,297,298,377,428,451,333,342,453,441,442,292,335
433287,2,3,3,3,1,1,3,1,2,6,1,2
320705,16,22,24,58,55,54,7,10,3,26,16,15
13518,1114,777,1388,2075,2013,1659,288,362,273,2455,1795,1689
100628580,6,7,1,5,7,3,3,8,6,2,3,8
69668,1001,1391,1235,1084,1020,984,741,928,881,1558,1333,1137
27993,903,1102,1090,781,750,651,683,843,802,1394,1015,1055
52318,131,186,147,119,116,103,147,174,189,246,184,153
19253,1092,1575,1257,2058,1983,1762,200,266,284,2013,1468,1369
21755,0,4,4,3,3,3,0,0,0,1,1,2
12627,0,0,0,0,0,0,0,0,0,0,0,0
21756,0,0,0,0,0,0,0,0,0,0,0,0
211383,1,0,1,0,0,0,0,0,0,2,1,0
241051,0,0,0,0,0,0,0,0,0,0,0,0
226970,96,92,115,42,62,60,169,194,217,82,80,61
214469,7058,7515,8579,6694,6468,5878,5021,6057,5788,10550,8128,7602
226971,3275,3635,4004,4824,4590,4061,4103,4925,4707,5450,4242,3969
50785,1525,1623,1952,1282,1253,1050,2012,2387,2388,1481,1254,1154
320011,5240,5134,6310,5119,4951,4292,3950,4956,4610,8278,6418,5780
214854,3613,4627,4390,4727,4435,3874,2887,3489,3287,4736,3757,3559
214855,101,138,156,411,407,333,118,158,164,1350,1072,961
226976,991,1054,1310,1514,1481,1251,1267,1419,1411,1486,1122,1107
214895,727,839,854,731,768,674,537,678,629,1045,781,764
94220,618,663,850,498,512,420,410,617,513,796,664,644
94218,724,805,918,610,611,527,673,853,830,1079,850,739
78321,43,41,75,65,58,69,34,44,48,58,52,34
109346,117,157,141,115,111,117,87,96,76,130,125,97
20353,319,302,359,349,335,284,183,191,237,495,354,296
381337,0,0,0,1,1,2,0,0,0,1,1,1
12859,1566,2312,1871,2036,1896,1681,1832,2205,2142,2526,1962,1911
226977,1133,1343,1407,1030,959,906,1870,2221,2125,1907,1491,1367
71166,1,0,0,1,1,0,1,4,10,1,0,4
22637,2,0,0,3,2,1,0,3,1,6,3,0
56030,2616,2068,3254,2852,2792,2421,2208,2695,2606,4053,3093,2834
70853,0,0,0,0,1,1,0,0,0,0,0,0
12790,0,0,0,0,0,0,0,0,1,0,0,0
269180,825,788,950,1592,1568,1334,1604,1938,1873,1818,1377,1197
76178,2101,2296,2510,8323,8204,7128,2735,3461,3229,3925,3056,2768
67387,657,1015,913,1140,1086,911,689,915,839,1140,888,844
269181,1146,1236,1424,1700,1695,1500,744,909,813,2872,2110,1853
77633,14,10,7,20,29,18,2,9,6,24,9,11
100861893,0,0,0,0,0,0,0,0,0,0,0,0
72097,16,14,16,0,1,1,126,136,122,6,5,1
100503734,0,0,0,0,0,0,0,1,1,0,0,0
211484,79,84,111,122,112,95,87,119,95,171,109,122
623661,40,59,38,36,44,43,27,46,36,44,40,30
69028,365,471,415,309,294,268,148,197,168,401,298,262
107734,517,570,605,548,501,481,393,500,462,752,579,545
332427,0,0,0,0,0,0,0,0,0,0,0,0
69541,0,0,0,0,0,0,0,0,0,0,0,0
98258,877,1214,1054,999,965,869,877,1151,1010,1611,1188,1088
226982,3689,5442,4392,5222,5010,4273,4196,5110,4821,6048,4927,4575
56210,352,302,381,323,360,303,240,357,285,504,362,329
16764,2,5,10,24,25,11,79,120,97,4,6,3
381338,0,0,0,0,0,0,0,0,0,0,0,0
98388,8,10,5,2,1,0,0,1,0,4,2,6
100503760,0,0,0,0,0,0,0,0,0,0,0,0
433292,0,0,0,0,0,0,0,0,0,0,0,0
68833,1038,1427,1207,937,836,798,673,809,781,1476,1240,1077
18143,10,18,6,2,1,0,116,171,151,11,10,12
114641,5105,7377,6157,6324,6042,5308,5474,6892,6638,8043,6118,5710
54610,637,673,846,1158,1055,986,649,767,665,902,668,582
52846,738,836,893,662,673,543,472,591,504,941,701,653
100217461,16,11,3,4,17,9,13,14,13,20,15,15
67702,2810,3687,3264,2069,2124,1802,4898,5900,5505,9926,7573,6897
263764,340,325,366,107,100,88,554,738,676,913,698,638
619289,0,0,0,0,0,0,0,0,0,0,4,0
100042065,0,0,0,0,0,0,0,0,0,0,0,0
73426,0,0,0,0,0,0,0,0,0,0,0,0
26921,3053,2877,3575,2395,2297,1992,1802,2055,1955,6708,5126,4612
100047133,0,2,3,2,4,7,1,0,0,2,3,1
16178,10,15,8,27,29,28,2,2,3,16,12,9
16177,7,14,17,3,6,4,67,90,82,38,10,24
107527,0,6,8,4,4,3,113,136,155,8,17,3
17082,206,235,269,44,29,26,855,1086,940,142,101,89
16182,8,2,3,4,6,5,10,13,9,3,3,3
16174,154,116,163,94,87,78,49,57,59,278,204,194
110895,7,10,9,7,10,10,41,52,50,10,6,2
226999,7,3,7,3,0,1,1,7,3,9,6,7
211798,65,75,77,75,54,46,55,69,66,128,87,71
381339,0,0,0,0,0,0,0,0,0,0,0,1
74897,0,0,0,0,0,0,0,0,0,0,0,0
66297,0,0,0,0,0,0,0,0,0,0,0,0
18993,0,0,0,0,0,0,0,0,0,0,0,0
73100,0,0,0,0,0,0,0,0,0,0,0,0
69527,468,663,525,492,472,401,397,499,483,727,519,480
93690,1,0,0,0,0,0,0,0,0,0,0,0
73122,1441,1386,1790,1236,1178,1023,1012,1315,1125,3068,2442,2294
98404,296,312,375,298,356,276,245,388,338,431,356,338
14200,8,12,16,0,6,4,4,8,17,3,2,0
666642,0,2,3,2,0,1,1,2,1,4,3,0
17974,409,479,517,428,433,412,341,474,425,562,423,391
100861934,1,1,2,3,4,1,1,3,3,4,3,1
78896,2,0,2,1,0,0,2,3,2,2,1,1
67883,697,642,759,527,525,389,489,553,503,913,687,590
100503192,2,4,1,3,3,2,2,3,1,2,2,6
22019,2174,2333,2812,2318,2395,1911,1864,2212,2058,4151,3282,3077
433294,0,2,2,1,2,0,2,2,0,4,1,0
75623,245,322,272,157,183,123,105,100,117,320,252,230
72050,292,301,338,293,260,234,197,222,229,405,298,259
246229,245,272,272,360,346,266,172,211,211,354,268,244
22592,203,205,259,272,278,251,130,194,145,296,201,227
100861960,0,0,0,0,0,0,0,0,0,4,0,0
403183,0,0,0,0,0,0,0,0,0,0,0,0
70676,0,1,0,0,0,0,3,1,1,0,0,0
75066,0,0,0,0,0,0,0,0,0,0,0,0
12825,153,168,195,14,6,5,60,86,86,17,17,12
12832,210,189,215,121,120,104,182,210,207,31,17,19
73674,403,511,511,394,397,366,398,506,407,639,505,442
433297,50,76,47,32,24,22,50,41,66,105,45,84
53945,1521,1672,1725,344,375,313,459,590,567,1101,817,756
100042453,0,0,0,0,0,0,0,0,0,0,0,0
212225,0,0,0,0,0,0,0,0,0,0,0,0
227058,0,0,0,0,1,1,0,0,0,0,0,0
100101919,3,4,1,0,1,3,12,6,14,1,4,2
227059,1017,914,1167,678,601,530,2990,3687,3396,1625,1197,1148
442837,0,0,0,0,0,0,0,0,0,0,0,0
56363,1,1,0,1,1,0,0,0,0,0,0,0
442821,0,0,0,0,0,0,0,0,0,0,0,0
20324,5,11,8,1,2,1,2,1,0,0,0,1
109019,317,388,396,1042,1069,897,766,940,925,616,471,452
100045066,0,0,0,9,9,9,0,0,1,0,1,0
17912,27,36,36,5,6,2,19,51,56,105,114,85
20849,67,80,106,49,65,50,10,15,9,102,74,72
100042634,2,0,0,2,1,0,0,0,0,0,1,0
20846,3513,3921,4166,35567,34513,30192,1421,1737,1686,3954,3059,2790
14660,2286,2475,2910,3229,3299,2626,2828,3425,3237,3818,3097,2649
17936,1474,1719,1835,1539,1492,1285,877,1053,979,2728,2015,1933
227094,282,270,338,230,282,216,133,123,126,353,235,235
98682,1987,1926,2536,817,790,695,1046,1371,1299,3084,2332,2236
16329,311,317,367,767,720,655,137,180,157,413,322,280
227095,192,219,245,184,146,154,97,119,116,316,241,204
67080,1,0,0,0,0,0,2,0,0,2,0,0
17700,0,0,0,0,0,0,0,0,0,0,0,0
69397,0,0,1,0,0,0,0,0,0,3,5,0
227099,156,145,184,155,138,143,72,100,70,192,158,118
227102,511,670,560,440,447,391,390,477,445,793,523,522
72085,88,79,93,57,61,49,43,67,67,152,92,68
70396,933,1257,1138,986,1027,829,973,1228,1121,1592,1146,1125
627872,0,0,0,0,0,0,0,0,1,0,0,0
98267,1865,2295,2138,2164,2159,1792,426,532,456,2250,1721,1564
329152,4,9,8,0,4,1,8,2,1,2,2,3
78016,3,4,2,1,2,1,1,2,2,1,5,3
98488,421,452,517,419,397,340,331,365,377,630,517,468
241062,1056,856,1122,3360,3230,2940,3702,4472,4141,2199,1698,1560
329154,1722,1658,2146,2374,2322,1951,1347,1679,1592,2891,2184,1981
81898,5788,6336,7153,6108,5956,5319,5136,6333,6087,8956,6873,6372
67876,167,268,214,244,229,196,484,570,585,335,272,243
15510,2480,2915,2824,2345,2190,1935,2776,3239,3197,3977,3066,2955
15528,727,1176,904,1001,967,886,796,1027,935,1294,991,941
19070,723,1010,861,723,711,638,837,925,890,1259,926,913
74013,40,47,41,24,30,20,14,28,24,47,40,31
212679,164,177,205,94,97,100,129,158,127,247,180,147
75388,0,0,0,0,3,0,0,0,0,1,2,0
227120,48,44,75,39,53,36,7,14,16,166,118,133
626009,41,29,35,27,23,29,20,20,18,38,28,16
329159,0,0,0,0,1,0,0,0,0,0,0,0
71066,0,0,0,0,0,0,0,0,0,0,0,0
212712,47,52,58,78,70,69,81,95,116,44,51,39
329160,16,11,9,21,16,16,15,27,20,11,10,10
407809,0,0,0,0,0,0,0,0,0,0,0,0
75323,30,16,31,21,8,12,3,4,1,29,22,17
73467,260,284,281,207,170,157,149,186,188,373,273,262
68736,79,145,114,88,93,73,84,91,100,130,126,122
68115,202,268,236,240,214,220,182,208,194,262,228,196
67198,0,0,0,0,0,0,1,3,0,0,0,1
51960,253,237,266,268,278,204,201,243,230,310,207,231
68549,983,1028,1243,510,500,427,162,205,171,1248,931,906
11761,6,4,6,3,3,1,2,2,2,0,1,4
71724,0,0,0,0,0,0,0,0,0,0,0,0
71872,0,0,0,0,0,0,0,1,0,0,2,0
213043,3,0,1,0,0,2,0,4,7,0,1,0
66882,3521,4044,4329,2748,2685,2311,3890,4621,4465,6390,5065,4448
12747,1519,1565,1712,1894,1825,1614,1475,1797,1621,2246,1685,1569
70225,240,310,262,305,251,239,209,253,241,343,291,250
65102,199,292,285,242,228,185,215,237,220,387,253,212
18393,640,667,742,475,496,385,370,539,473,956,727,726
100504455,1,3,3,7,6,5,9,4,4,4,3,2
213056,385,313,397,338,308,300,245,287,272,564,402,401
66495,470,782,509,564,494,450,325,410,419,647,523,499
100504501,19,19,11,24,45,20,22,22,17,24,8,15
108812,0,0,0,1,0,0,0,1,0,1,1,0
12633,1774,1662,2149,2258,2215,2098,1602,2064,2012,3939,2862,2717
12370,1628,2019,1967,1964,1971,1702,1353,1677,1586,2732,2162,1917
70827,1580,1478,1859,1395,1390,1164,1195,1491,1439,2396,1875,1801
227154,228,273,264,255,230,198,240,275,280,389,287,264
73463,0,0,0,0,0,0,0,0,0,0,0,0
381259,260,400,366,320,321,270,173,189,174,406,299,299
227157,2,1,2,2,1,3,0,1,3,0,1,0
74018,771,810,956,1005,961,860,935,1086,1009,1614,1127,1047
271697,15,9,20,3,1,3,34,33,26,83,65,54
14369,664,693,781,1401,1358,1224,1542,2038,1895,1477,1144,1014
381260,1,0,0,1,1,0,0,0,0,1,0,0
22218,1132,1559,1269,1162,1174,1014,734,952,930,1641,1243,1152
55989,922,1187,1048,636,664,549,618,774,739,1220,906,854
100217459,2,3,0,2,1,1,0,1,0,4,1,1
100217421,0,0,1,0,0,0,1,0,0,0,0,0
12168,790,515,966,669,592,499,843,951,944,1420,950,890
100504533,92,149,95,71,86,83,98,121,107,153,125,113
72750,1126,1126,1361,1882,1788,1609,1355,1619,1527,1230,921,858
70375,4,3,7,3,3,4,10,16,13,2,2,0
57750,487,576,558,379,385,313,397,458,442,625,510,469
241066,81,43,92,79,74,75,81,117,97,93,78,69
100504573,0,1,2,1,1,0,0,3,0,2,2,1
269198,687,432,888,658,676,573,762,985,936,1172,869,824
77951,539,547,633,443,445,362,382,482,458,771,575,601
329165,633,667,775,620,627,519,557,616,567,1048,870,873
77300,1543,1239,1972,413,408,373,1628,1854,1789,2679,2033,1794
100043027,2,1,3,0,2,3,1,4,0,3,2,2
100042533,1,3,0,0,0,0,0,0,0,4,5,0
12487,1028,1058,1230,290,266,261,643,842,693,2014,1607,1520
100504618,6,7,7,0,0,2,3,3,0,3,2,3
12477,2,2,0,4,5,3,0,1,0,0,0,0
54167,9,8,9,6,8,6,1,3,9,12,6,12
77341,0,0,0,0,0,0,0,0,0,0,0,0
72823,5,5,10,3,5,0,9,7,7,14,11,14
18187,9188,8334,11691,4408,4354,3823,11534,14227,13014,19844,14943,14197
74992,31,19,36,17,20,29,50,69,77,71,56,32
227195,1355,1086,1615,1541,1470,1334,1242,1413,1431,2136,1592,1479
100380944,11,10,31,21,24,27,28,19,14,34,27,25
100504668,25,16,15,18,25,13,16,22,18,13,16,18
227197,1412,1606,1532,1396,1360,1128,1599,1958,1828,2235,1687,1604
55949,3967,6301,4646,5510,5378,4748,4415,5635,5309,6460,5223,4793
100217464,2,4,2,4,2,3,3,12,6,5,2,1
241070,0,0,0,1,0,1,0,0,0,0,0,1
73884,0,0,0,0,0,0,0,0,0,0,0,0
23792,1,5,3,3,4,2,2,2,1,1,1,1
241073,0,0,0,0,0,0,0,0,0,0,0,0
76668,0,0,0,0,0,0,0,0,0,0,0,0
75619,302,386,377,288,295,261,256,320,305,544,374,370
74426,2,4,2,0,0,2,2,3,0,0,2,1
433315,0,0,0,0,0,0,0,0,0,0,0,0
93691,79,105,113,82,68,60,78,114,107,283,196,171
12912,1604,1633,1949,1478,1431,1241,1389,1802,1584,2711,2055,1931
67099,203,239,230,241,241,216,230,282,265,319,243,239
69941,46,75,56,43,33,34,12,20,20,52,56,45
227210,194,227,247,156,148,88,188,247,217,320,259,215
14367,283,248,322,188,183,177,245,290,301,382,320,302
241075,2264,1965,2715,2313,2231,1995,2053,2595,2364,2741,2221,1973
70861,0,0,1,0,0,0,0,0,0,0,0,0
667276,0,0,0,0,0,0,1,0,0,0,0,0
12968,0,0,0,0,0,0,0,0,0,0,0,0
12967,0,0,0,0,0,0,0,0,0,0,0,0
12966,0,0,0,0,0,0,0,0,0,0,0,0
12965,0,0,0,0,0,0,0,0,0,0,0,0
12964,0,0,0,0,1,4,0,1,0,2,0,0
98303,39,50,46,66,64,59,7,10,8,29,13,23
15926,2270,2715,2671,1112,983,901,8167,9853,9461,4799,3661,3563
18711,1861,1693,2294,1979,2038,1771,1980,2356,2271,3605,2814,2456
213527,0,0,0,0,0,0,0,0,0,0,0,0
12969,0,0,0,0,0,0,0,0,0,0,0,0
17756,62,71,68,49,61,48,1289,1567,1451,29,31,21
100038569,0,1,0,0,0,0,2,4,1,0,0,0
329178,0,1,0,1,0,0,0,0,1,0,0,0
66646,839,1042,973,749,769,640,662,811,735,1302,952,948
68691,325,315,390,324,287,246,138,131,186,537,344,365
11363,1077,1351,1249,1077,992,857,1453,1717,1530,1781,1353,1283
100862127,0,0,0,0,0,2,2,2,0,0,0,0
17901,0,0,0,0,0,0,0,0,0,0,0,0
14768,411,540,519,327,323,293,260,279,259,487,395,337
227231,0,0,0,0,0,0,0,0,0,0,0,0
13869,0,0,0,0,0,0,0,0,0,0,0,0
100502712,0,0,0,0,0,0,0,0,0,0,0,0
22779,16,32,25,216,249,188,17,21,15,64,44,46
66722,0,0,0,0,0,0,0,0,0,0,0,0
320460,0,0,0,0,0,0,0,0,0,0,0,0
12021,630,569,779,495,492,370,127,153,120,722,551,570
74591,0,0,0,0,0,0,0,0,0,0,0,0
108147,1532,1865,1978,1140,1168,1026,2238,2586,2397,1970,1567,1467
14268,1303,956,1565,477,416,360,27787,33665,31260,2937,2155,2038
100042814,0,0,0,0,0,0,1,0,0,0,1,0
667931,0,0,0,0,0,0,0,0,0,0,0,0
71134,0,1,0,0,0,0,33,32,32,1,0,0
433319,0,0,0,0,0,0,0,0,0,0,0,0
381269,9,15,7,22,19,13,5,3,3,11,6,7
111175,60,78,82,57,41,37,39,43,48,78,52,45
271711,0,0,0,1,0,1,0,0,0,0,0,0
22596,54,69,73,24,34,20,5,5,7,43,27,27
381270,0,0,0,0,0,0,0,0,0,0,0,0
54380,564,656,671,701,651,582,368,470,473,798,601,529
319695,0,0,1,0,0,0,0,0,1,2,0,0
19981,3936,6852,4725,4610,4550,3941,4207,5243,5097,6590,5097,4729
16008,0,0,0,0,0,0,0,0,0,0,0,0
16011,52,32,59,0,0,0,4,11,4,0,0,0
21958,0,0,0,0,0,0,0,0,0,0,0,0
69449,0,0,0,0,0,0,0,0,0,0,0,0
723792,0,0,0,0,0,0,0,0,0,0,0,0
78718,0,0,0,0,0,0,0,0,0,0,0,0
109198,0,0,0,0,0,0,0,0,0,0,0,0
21961,361,303,403,204,190,192,952,1243,1130,1049,797,752
435626,0,2,1,0,0,3,1,5,1,0,0,0
100862357,0,0,0,0,0,0,0,0,0,0,0,0
12765,19,39,28,23,32,21,12,14,23,33,23,17
227288,1,2,0,0,0,0,0,0,0,4,1,4
100316687,0,0,0,0,0,0,0,0,0,0,0,0
76709,17453,22004,20963,18224,17340,15611,11721,14078,13279,23566,18655,17185
227289,2,0,1,3,2,0,0,2,2,2,0,3
227290,2048,3072,2480,2513,2302,1989,2440,2996,2876,3587,2790,2534
56695,293,418,415,339,311,275,281,369,388,495,397,351
69660,999,1321,1284,1140,1042,965,2059,2612,2449,1565,1261,1136
241112,9,11,9,2,4,7,7,3,3,7,9,6
18173,3836,4123,4442,10697,10479,9185,4735,5883,5424,5298,4214,3735
227292,2590,2765,3038,2482,2268,2027,2122,2584,2526,3864,3024,2883
387219,1,2,0,3,4,1,2,3,1,0,1,0
22349,0,2,2,0,3,4,0,2,0,1,0,0
319651,629,598,818,593,545,469,373,480,441,951,753,711
58184,1640,1774,2004,1133,1109,979,932,1086,1019,2349,1809,1857
18802,1,6,7,2,3,4,3,9,4,9,1,2
77264,466,369,575,509,461,398,678,853,722,635,509,493
66821,194,253,232,245,224,189,160,190,167,302,239,189
57751,335,429,371,394,410,371,380,463,436,550,480,406
269209,11,21,33,35,55,29,14,16,10,53,29,22
67534,346,280,386,423,441,418,234,378,335,490,352,368
104086,503,607,616,1126,1160,1028,920,1164,1136,724,554,534
241113,3,0,1,3,3,5,2,5,5,2,5,2
22420,16,21,15,35,35,24,3,1,1,20,16,17
22409,0,0,0,0,0,0,0,0,0,0,0,0
12570,0,0,0,0,0,0,0,0,0,0,0,0
260298,0,0,0,0,0,0,0,0,0,0,0,0
12958,0,0,0,0,0,0,0,0,0,0,0,0
723900,0,0,0,0,0,0,0,0,0,0,0,0
241116,0,0,0,0,0,0,0,0,0,0,0,0
16147,2,2,4,4,4,5,1,3,4,3,2,5
75570,62,94,85,70,67,32,51,74,84,113,99,92
22626,1,1,2,1,4,0,0,0,0,1,4,3
69171,1429,1706,1687,1844,1565,1479,2003,2360,2266,2450,1873,1802
227298,2378,2892,3015,2091,2072,1904,2429,2928,2755,3757,2953,2715
68818,359,512,419,283,322,253,250,301,269,457,399,365
74104,524,631,629,340,350,281,269,370,312,655,438,494
245860,1224,1234,1483,1314,1262,1113,628,874,831,1669,1302,1122
52231,329,276,474,519,527,463,249,309,346,461,324,355
74577,252,232,290,291,285,246,184,228,228,426,337,303
20872,587,756,671,687,640,568,510,643,638,842,616,640
22145,1080,1555,1367,721,680,562,158,181,187,1370,1038,913
381272,0,0,0,0,0,0,0,1,0,0,0,0
56812,101,132,139,151,128,127,119,151,140,203,123,139
19275,79,71,107,16,13,9,129,132,120,31,26,28
19711,0,0,0,0,0,0,0,0,0,0,0,0
13437,690,905,822,869,792,759,725,876,858,1158,919,822
13346,0,1,0,0,0,0,0,0,0,0,0,1
100503248,0,0,0,0,0,0,0,0,0,0,0,0
11790,725,898,1026,521,515,483,1785,2207,2020,1457,1060,998
69080,497,555,625,598,632,541,723,878,842,898,678,540
100862164,0,0,0,0,2,0,0,0,0,0,2,1
241118,1,0,0,0,0,0,0,0,0,0,0,0
74241,22,28,17,33,50,44,128,159,142,30,18,20
319998,1,4,1,6,3,3,13,10,12,0,2,1
98733,2,0,10,1,0,1,3,2,2,0,0,0
16322,0,0,0,0,0,0,0,0,0,0,0,0
71728,1060,1119,1154,1003,958,804,1520,1888,1738,1905,1460,1357
